"Time","spin"
2026-03-29 18:03:00.000,0 req/s
2026-03-29 18:03:03.000,0 req/s
2026-03-29 18:03:06.000,0 req/s
2026-03-29 18:03:09.000,0 req/s
2026-03-29 18:03:12.000,0 req/s
2026-03-29 18:03:15.000,0 req/s
2026-03-29 18:03:18.000,0 req/s
2026-03-29 18:03:21.000,0 req/s
2026-03-29 18:03:24.000,31.3 req/s
2026-03-29 18:03:27.000,100 req/s
2026-03-29 18:03:30.000,35.3 req/s
2026-03-29 18:03:33.000,0 req/s
2026-03-29 18:03:36.000,0 req/s
2026-03-29 18:03:39.000,0 req/s
2026-03-29 18:03:42.000,0 req/s
2026-03-29 18:03:45.000,0 req/s
